tiempo,paso,n_part
17.96904,0.02,3
17.988039,0.019,3
18.00804,0.02,3
18.02804,0.02,3
18.04904,0.021,3
18.07004,0.021,3
18.08804,0.018,3
18.10804,0.02,3
18.12804,0.02,3
18.14904,0.021,3
18.17104,0.022,3
18.18904,0.018,3
18.208038,0.019,3
18.228039,0.02,3
18.249039,0.021,3
18.271038,0.022,52
18.288038,0.017,52
18.310038,0.022,52
18.328037,0.018,52
18.349037,0.021,52
18.369038,0.02,52
18.388037,0.019,52
18.408037,0.02,52
18.429037,0.021,101
18.449038,0.02,101
18.469038,0.02,101
18.490038,0.021,101
18.509037,0.019,101
18.529037,0.02,101
18.549038,0.02,101
18.569038,0.02,150
18.588037,0.019,150
18.608038,0.02,150
18.628038,0.02,150
18.648039,0.02,150
18.66804,0.02,150
18.69204,0.024,150
18.72204,0.03,150
18.72804,0.006,150
18.75004,0.022,150
18.77004,0.02,150
18.78904,0.019,150
18.81004,0.021,150
18.83004,0.02,150
18.85104,0.021,150
18.86904,0.018,150
18.891039,0.022,100
18.909039,0.018,100
18.930038,0.021,100
18.949038,0.019,100
18.969038,0.02,100
18.989038,0.02,100
19.010038,0.021,100
19.030039,0.02,100
19.05004,0.02,50
19.069038,0.019,50
19.089039,0.02,50
19.10904,0.02,50
19.12904,0.02,50
19.14904,0.02,50
19.17004,0.021,50
19.18904,0.019,0
19.20904,0.02,0
19.23004,0.021,0
19.25104,0.021,0
19.26904,0.018,0
19.28904,0.02,0
19.30904,0.02,0
19.32904,0.02,0
19.349041,0.02,0
19.372042,0.023,0
19.389042,0.017,0
19.410042,0.021,0
19.42904,0.019,0
19.45104,0.022,0
19.46904,0.018,0
19.48904,0.02,0
19.50904,0.02,0
19.53004,0.021,0
19.54904,0.019,0
19.56904,0.02,0
19.58904,0.02,0
19.61104,0.022,0
19.63004,0.019,0
19.649038,0.019,0
19.670038,0.021,0
19.691038,0.021,0
19.710037,0.019,0
19.729036,0.019,0
19.751036,0.022,0
19.771036,0.02,0
19.789036,0.018,0
19.812037,0.023,0
19.830036,0.018,0
19.849035,0.019,0
19.869036,0.02,0
19.889036,0.02,0
19.909037,0.02,0
19.931036,0.022,0
19.951036,0.02,0
19.972036,0.021,0
19.989037,0.017,0
20.012037,0.023,0
20.029037,0.017,0
20.049038,0.02,0
20.072039,0.023,0
20.090038,0.018,0
20.110039,0.02,0
20.13004,0.02,0
20.15004,0.02,0
20.169039,0.019,0
20.18904,0.02,0
20.21204,0.023,0
20.22904,0.017,0
20.24904,0.02,0
20.27104,0.022,0
20.28904,0.018,0
20.31004,0.021,0
20.329039,0.019,0
20.350039,0.021,0
20.371038,0.021,0
20.389038,0.018,0
20.409039,0.02,0
20.429039,0.02,0
20.44904,0.02,0
20.46904,0.02,0
20.48904,0.02,0
20.51004,0.021,0
20.52904,0.019,0
20.55004,0.021,0
20.569038,0.019,0
20.591038,0.022,0
20.610037,0.019,0
20.630037,0.02,0
20.649036,0.019,0
20.669037,0.02,0
20.689037,0.02,0
20.709038,0.02,0
20.733038,0.024,0
20.750038,0.017,0
20.771038,0.021,0
20.791039,0.02,0
20.809038,0.018,0
20.831038,0.022,0
20.851038,0.02,0
20.869038,0.018,0
20.891037,0.022,0
20.910036,0.019,0
20.930037,0.02,0
20.951036,0.021,0
20.970036,0.019,0
20.989035,0.019,0
21.009035,0.02,0
21.032036,0.023,0
21.049036,0.017,0
21.070036,0.021,0
21.089035,0.019,0
21.109035,0.02,0
21.129036,0.02,0
21.151035,0.022,0
21.169035,0.018,0
21.189035,0.02,0
21.209036,0.02,0
21.230036,0.021,0
21.249035,0.019,0
21.270035,0.021,0
21.289034,0.019,0
21.311033,0.022,0
21.330032,0.019,0
21.352032,0.022,0
21.370031,0.018,0
21.38903,0.019,0
21.41003,0.021,0
21.43103,0.021,0
21.44903,0.018,0
21.46903,0.02,0
21.492031,0.023,0
21.51103,0.019,0
21.53003,0.019,0
21.55003,0.02,0
21.57003,0.02,0
21.58903,0.019,0
21.60903,0.02,0
21.62903,0.02,0
21.64903,0.02,0
21.669031,0.02,0
21.690031,0.021,0
21.70903,0.019,0
21.73003,0.021,0
21.74903,0.019,0
21.76903,0.02,0
21.78903,0.02,0
21.81003,0.021,0
21.83003,0.02,0
21.84903,0.019,0
21.86903,0.02,0
21.89103,0.022,0
21.909029,0.018,0
21.93203,0.023,0
21.94903,0.017,0
21.96903,0.02,0
21.99003,0.021,0
22.01203,0.022,0
22.03003,0.018,50
22.049028,0.019,50
22.070028,0.021,50
22.090029,0.02,50
22.109028,0.019,50
22.131027,0.022,50
22.151028,0.02,50
22.170027,0.019,50
22.190027,0.02,50
22.211027,0.021,50
22.230026,0.019,50
22.250027,0.02,50
22.271027,0.021,50
22.291027,0.02,50
22.310026,0.019,50
22.330027,0.02,50
22.349026,0.019,50
22.369026,0.02,50
22.389027,0.02,50
